States,RRP
NSW,7.81
NSW,0.0
NSW,8.01
NSW,8.26
NSW,69.99
NSW,61.55
NSW,61.31
NSW,61.78
NSW,57.0
NSW,45.81
NSW,61.55
NSW,57.0
NSW,61.52
NSW,61.55
NSW,62.49
NSW,61.86
NSW,62.29
NSW,62.22
NSW,69.99
NSW,76.0
NSW,76.0
NSW,69.99
NSW,61.55
NSW,62.77
NSW,61.55
NSW,69.99
NSW,61.55
NSW,69.99
NSW,62.54
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,76.0
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,69.99
NSW,57.0
NSW,57.01
NSW,57.0
NSW,57.01
NSW,61.45
NSW,57.01
NSW,61.55
NSW,61.55
NSW,57.01
NSW,57.0
NSW,56.98
NSW,56.98
NSW,56.98
NSW,57.01
NSW,56.98
NSW,56.98
NSW,57.0
NSW,57.0
NSW,61.55
NSW,61.55
NSW,57.0
NSW,61.55
NSW,56.98
NSW,57.0
NSW,57.0
NSW,57.0
NSW,56.98
NSW,56.98
NSW,57.0
NSW,61.55
NSW,57.0
NSW,56.98
NSW,54.39
NSW,57.0
NSW,57.0
NSW,57.0
NSW,56.98
NSW,57.0
NSW,56.98
NSW,57.0
NSW,57.0
NSW,69.99
NSW,56.98
NSW,57.0
NSW,54.0
NSW,57.0
NSW,59.38
NSW,69.99
NSW,52.31
NSW,54.4
NSW,56.98
NSW,57.0
NSW,65.0
NSW,69.99
NSW,53.55
NSW,56.98
NSW,57.0
NSW,57.0
NSW,57.0
NSW,59.38
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,54.39
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,56.98
NSW,56.98
NSW,56.98
NSW,56.98
NSW,56.98
NSW,56.98
NSW,56.98
NSW,57.0
NSW,57.0
NSW,57.0
NSW,56.98
NSW,56.98
NSW,56.98
NSW,56.98
NSW,53.21
NSW,56.98
NSW,57.0
NSW,57.0
NSW,56.98
NSW,50.72
NSW,56.98
NSW,56.98
NSW,45.63
NSW,57.0
NSW,57.0
NSW,56.98
NSW,57.0
NSW,59.47
NSW,57.0
NSW,61.0
NSW,57.0
NSW,45.31
NSW,43.03
NSW,35.88
NSW,33.47
NSW,-4.53
NSW,-23.0
NSW,-23.18
NSW,-24.04
NSW,-35.67
NSW,-35.93
NSW,-35.31
NSW,-39.34
NSW,-37.79
NSW,-37.38
NSW,-39.5
NSW,-40.05
NSW,-37.35
NSW,-36.35
NSW,-39.31
NSW,-40.5
NSW,-40.51
NSW,-40.72
NSW,-41.1
NSW,-42.01
NSW,-43.18
NSW,-43.45
NSW,-42.67
NSW,-42.29
NSW,-43.05
NSW,-44.1
NSW,-44.1
NSW,-45.0
NSW,-45.79
NSW,-44.91
NSW,-45.01
NSW,-43.18
NSW,-46.43
NSW,-45.0
NSW,-43.67
NSW,-43.31
NSW,-43.18
NSW,-45.0
NSW,-44.44
NSW,-44.1
NSW,-44.1
NSW,-45.0
NSW,-44.59
NSW,-45.0
NSW,-47.0
NSW,-47.0
NSW,-46.01
NSW,-47.0
NSW,-46.43
NSW,-47.0
NSW,-46.01
NSW,-52.65
NSW,-46.43
NSW,-57.05
NSW,-46.43
NSW,-52.13
NSW,-56.72
NSW,-49.6
NSW,-52.36
NSW,-55.2
NSW,-50.53
NSW,-49.79
NSW,-46.01
NSW,-54.45
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-49.63
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-51.3
NSW,-57.05
NSW,-57.05
NSW,-47.0
NSW,-47.0
NSW,-57.05
NSW,-57.05
NSW,-46.01
NSW,-46.43
NSW,-47.0
NSW,-57.05
NSW,-46.43
NSW,-47.0
NSW,-47.0
NSW,-46.43
NSW,-46.01
NSW,-46.01
NSW,-45.01
NSW,-44.1
NSW,-45.0
NSW,-45.0
NSW,-45.0
NSW,-44.1
NSW,-43.18
NSW,-41.51
NSW,-40.5
NSW,-47.0
NSW,-40.51
NSW,-44.1
NSW,-38.46
NSW,-40.51
NSW,-38.46
NSW,-40.51
NSW,-3.75
NSW,46.22
NSW,0.0
NSW,0.8
NSW,85.63
NSW,0.0
NSW,0.0
NSW,-24.03
NSW,-24.28
NSW,-40.51
NSW,-38.46
NSW,-47.0
NSW,-40.5
NSW,-40.51
NSW,-38.46
NSW,-22.95
NSW,75.8
NSW,49.96
NSW,57.07
NSW,0.63
NSW,76.0
NSW,64.24
NSW,76.0
NSW,57.0
NSW,69.99
NSW,69.99
NSW,57.0
NSW,57.0
NSW,100.0
NSW,66.72
NSW,54.01
NSW,76.0
NSW,88.59
NSW,76.0
NSW,75.8
NSW,76.0
NSW,76.0
NSW,87.89
NSW,75.8
NSW,69.99
NSW,69.99
NSW,76.0
NSW,75.0
NSW,76.0
NSW,69.99
NSW,60.72
NSW,76.0
NSW,57.01
NSW,76.0
NSW,76.0
NSW,76.0
NSW,75.75
NSW,76.0
NSW,68.54
NSW,68.54
NSW,57.01
NSW,41.68
NSW,57.01
NSW,33.91
NSW,48.32
NSW,57.01
NSW,42.94
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.0
NSW,57.01
NSW,10.84
NSW,54.35
